Outcode,Postcode,Number_meters,Total_consumption_kwh,Mean_consumption_kwh,Median_consumption_kwh
AB,"AB11 7RX",36,367947,10220.74,8915.22
AB,"AB11 7RY",9,267543,29726.96,30337.07
AB,"AB11 7RZ",6,132687,22114.44,21322.74
AB,"AB11 7SA",42,924984,22023.43,20187
AB,"AB11 7SB",21,411257,19583.68,18857.55
AB,"AB11 7SD",10,249727,24972.72,21912.38
AB,"AB11 7SE",48,1030832,21475.66,20005.81
AB,"AB11 7SF",12,299681,24973.42,27963.48
AB,"AB11 7SG",8,136625,17078.12,16165.62
AB,"AB11 7SJ",30,382133,12737.75,9820.7
AB,"AB11 7SQ",24,235076,9794.84,9016.83
AB,"AB11 7SR",22,255112,11596,10778.25
AB,"AB11 7ST",10,82951,8295.14,7616.8
AB,"AB11 7SW",16,130478,8154.89,6583.18
AB,"AB11 7SX",34,357624,10518.34,10270.58
AB,"AB11 7SY",27,603397,22348.03,19428.18
AB,"AB11 7SZ",45,766817,17040.37,16844.36
AB,"AB11 7TA",31,230480,7434.83,6902.52
AB,"AB11 7TB",27,286577,10613.98,8414.17
AB,"AB11 7TD",34,534660,15725.29,14999.85
AB,"AB11 7TE",25,477337,19093.46,20163.98
AB,"AB11 7TF",57,903512,15851.08,16296.76
AB,"AB11 7TH",17,512456,30144.45,26523.91
AB,"AB11 7TJ",12,262854,21904.46,21257.17
AB,"AB11 7TU",17,259430,15260.58,13921.17
AB,"AB11 7TW",32,593475,18546.1,17439.01
AB,"AB11 7TY",27,484980,17962.21,15531.93
AB,"AB11 7TZ",15,284561,18970.74,18075.7
AB,"AB11 7UE",58,1102946,19016.31,19619.39
AB,"AB11 7UF",18,372858,20714.36,20190.51
AB,"AB11 7UG",28,767606,27414.49,27094.53
AB,"AB11 7UH",11,320738,29157.96,30772.54
AB,"AB11 7UR",52,1039938,19998.8,15353.24
AB,"AB11 7US",6,135218,22536.4,21754.71
AB,"AB11 7UU",35,688637,19675.33,14373.67
AB,"AB11 7UW",13,390388,30029.81,25936.27
AB,"AB11 7WA",7,140143,20020.46,20532.38
AB,"AB11 7WB",6,126865,21144.21,21225.14
AB,"AB11 7WD",14,237274,16948.12,15350.73
AB,"AB11 7WE",25,489652,19586.07,19638.41
AB,"AB11 7WG",6,54405,9067.55,9904.3
AB,"AB11 7XH",14,200764,14340.28,14452.76
AB,"AB11 7XU",11,171693,15608.47,16181.64
AB,"AB11 7XY",34,612630,18018.52,18748.94
